Periodo,Endividamento_Total,Confiança_Valor,Selic_Valor,Inflação_Acumulada
8/1/2022,49.70,106.76,13.15,4.39
9/1/2022,49.50,111.46,13.65,4.09
10/1/2022,49.70,114.23,13.65,4.7
11/1/2022,49.50,116.79,13.65,5.13
12/1/2022,49.10,122.84,13.65,5.79
1/1/2023,49.10,125.38,13.65,0.53
2/1/2023,48.80,128.78,13.65,1.37
3/1/2023,48.70,127.42,13.65,2.09
4/1/2023,48.60,125.10,13.65,2.72
5/1/2023,48.90,122.22,13.65,2.95
