"data";"valor"
"01/07/1988";"0"
"01/08/1988";"0"
"01/09/1988";"0"
"01/10/1988";"0"
"01/11/1988";"0"
"01/12/1988";"0"
"01/01/1989";"0"
"01/02/1989";"0"
"01/03/1989";"0"
"01/04/1989";"0"
"01/05/1989";"0"
"01/06/1989";"0"
"01/07/1989";"0"
"01/08/1989";"0"
"01/09/1989";"0"
"01/10/1989";"0"
"01/11/1989";"0"
"01/12/1989";"0"
"01/01/1990";"0"
"01/02/1990";"0"
"01/03/1990";"1"
"01/04/1990";"1"
"01/05/1990";"1"
"01/06/1990";"1"
"01/07/1990";"1"
"01/08/1990";"1"
"01/09/1990";"1"
"01/10/1990";"1"
"01/11/1990";"1"
"01/12/1990";"1"
"01/01/1991";"2"
"01/02/1991";"2"
"01/03/1991";"2"
"01/04/1991";"2"
"01/05/1991";"3"
"01/06/1991";"3"
"01/07/1991";"4"
"01/08/1991";"4"
"01/09/1991";"5"
"01/10/1991";"6"
"01/11/1991";"8"
"01/12/1991";"10"
"01/01/1992";"13"
"01/02/1992";"16"
"01/03/1992";"19"
"01/04/1992";"24"
"01/05/1992";"29"
"01/06/1992";"36"
"01/07/1992";"45"
"01/08/1992";"57"
"01/09/1992";"71"
"01/10/1992";"90"
"01/11/1992";"116"
"01/12/1992";"149"
"01/01/1993";"189"
"01/02/1993";"246"
"01/03/1993";"318"
"01/04/1993";"419"
"01/05/1993";"560"
"01/06/1993";"740"
"01/07/1993";"994"
"01/08/1993";"1312"
"01/09/1993";"1860"
"01/10/1993";"2628"
"01/11/1993";"3635"
"01/12/1993";"5127"
"01/01/1994";"6924"
"01/02/1994";"10652"
"01/03/1994";"16171"
"01/04/1994";"21889"
"01/05/1994";"32497"
"01/06/1994";"49120"
"01/07/1994";"52291"
"01/08/1994";"57402"
"01/09/1994";"61986"
"01/10/1994";"65216"
"01/11/1994";"66938"
"01/12/1994";"69086"
"01/01/1995";"70984"
"01/02/1995";"74849"
"01/03/1995";"77590"
